status	family	pval	qval	ensembl_gene_id	hgnc_symbol	chromosome_name	start_position	end_position	gc	gene_short_name	mean_exprs	exprs_rank	n_cells_exprs	total_feature_exprs	pct_total_exprs	pct_dropout	total_feature_counts	log10_total_feature_counts	pct_total_counts	total_feature_tpm	log10_total_feature_tpm	pct_total_tpm	is_feature_control	use_for_ordering
OK	negbinomial.size	5.72783403833742e-52	4.81138059220343e-48	ENSG00000257017	HP	16	72054592	72061055	0.519956683168317	HP	0.184045887402253	8094	27	218.830560121279	0.00529556267746139	97.7291841883936	10033.0915734865	4.0014780601837	0.0761140218567802	845211.98	5.92696615792487	0.0751272048726837	FALSE	TRUE
OK	negbinomial.size	4.20845486450555e-26	1.76755104309233e-22	ENSG00000116690	PRG4	1	186296279	186314562	0.333078101071975	PRG4	0.0859620707838122	4827	36	102.208902161953	0.00247339150113755	96.9722455845248	361.843644657824	2.55971952065386	0.00274505369322092	28924.86	4.4612862799039	0.00257100459358573	FALSE	FALSE
OK	negbinomial.size	1.30585906725464e-24	3.65640538831298e-21	ENSG00000188257	PLA2G2A	1	19975431	19980416	0.538106698756518	PLA2G2A	0.212684343096829	8696	54	252.88168394213	0.00611957857511016	95.4583683767872	4426.4449062822	3.64615316567318	0.0335803298392023	421841.23	5.62515005415627	0.0374956262569242	FALSE	TRUE
OK	negbinomial.size	1.3074937509463e-23	2.74573687698722e-20	ENSG00000000971	CFH	1	196651878	196747504	0.34975477637069	CFH	0.222464782196901	8896	83	264.510626032115	0.00640099169983989	93.0193439865433	878.505033098368	2.94423832911536	0.00666460091595723	103735.02	5.01592958156777	0.00922055328653995	FALSE	TRUE
OK	negbinomial.size	1.66036974425054e-21	2.7894211703409e-18	ENSG00000198759	EGFL6	X	13569605	13633575	0.407372090478498	EGFL6	0.0836709166984698	4718	34	99.4847199544806	0.00240746799567972	97.1404541631623	343.380146182343	2.53703810604528	0.00260498409291655	26117.28	4.41694457340302	0.00232145105808515	FALSE	FALSE
OK	negbinomial.size	1.83085253317793e-20	2.19702303981352e-17	ENSG00000108691	CCL2	17	34255218	34257203	0.464753272910373	CCL2	0.383446321303877	10832	174	455.91767603031	0.0110329225855977	85.3658536585366	6491.10908675756	3.81238580865555	0.0492434874420791	567751.69	5.75415920057454	0.0504649703751743	FALSE	TRUE
OK	negbinomial.size	1.71521821653796e-20	2.19702303981352e-17	ENSG00000136960	ENPP2	8	119557086	119673453	0.397772583528118	ENPP2	0.230825448105997	9061	156	274.45145779803	0.00664155361063207	86.8797308662742	1419.46177606797	3.15242955156398	0.0107684599365176	100757.48	5.00328160729182	0.00895589274824918	FALSE	TRUE
OK	negbinomial.size	3.86711732417815e-19	4.06047319038706e-16	ENSG00000109072	VTN	17	28367276	28373091	0.37242090784044	VTN	0.0488312493962828	2771	17	58.0603555321802	0.00140502428740279	98.5702270815812	246.570300292582	2.39369854344706	0.00187055575923353	18375.04	4.26425192753745	0.00163327712726428	FALSE	FALSE
OK	negbinomial.size	9.90138847878147e-15	9.24129591352937e-12	ENSG00000163347	CLDN1	3	190305701	190322475	0.384918032786885	CLDN1	0.125896310280598	6402	63	149.69071292363	0.00362242162192357	94.7014297729184	433.345831881275	2.63783565824305	0.00328749058829673	29235.03	4.46591839885524	0.00259857425147837	FALSE	TRUE
OK	negbinomial.size	3.0484039314732e-13	2.56065930243749e-10	ENSG00000114200	BCHE	3	165772904	165837472	0.339110099273645	BCHE	0.0722742724845108	4127	37	85.9341099840833	0.00207955171023813	96.8881412952061	237.93122693775	2.37827291325133	0.00180501717490627	20105.16	4.30332913424401	0.00178705994479407	FALSE	FALSE
