ID	GeneRef	Chr	Symbol	Average log fold-change
ILMN_1747546	NM_005727.2	1	TSPAN1	1.54
ILMN_1673521	NM_032551.3	19	KISS1R	1.54
ILMN_1803720	XM_941071.1		SLC16A5	1.53
ILMN_1714643	NM_004668.1	7	MGAM	1.53
ILMN_2044453	NM_020400.4	12	LPAR5	1.53
ILMN_1810233	NM_001073.1	4	UGT2B11	1.53
ILMN_1702676	XM_938283.2		C17orf68	1.52
ILMN_2294976	NM_194430.1	14	RNASE4	1.52
ILMN_1690063	XM_942536.1		LOC651143	1.52
ILMN_1674032	NM_002858.2	1	ABCD3	1.52
ILMN_2372136	NM_177938.2	3	PH-4	1.52
ILMN_1838655				1.51
ILMN_1675669	NM_015525.2	6	IBTK	1.51
ILMN_1781859	NM_053039.1	4	UGT2B28	1.51
ILMN_2130525	NM_014399.3	7	TSPAN13	1.51
ILMN_1656910	NM_058166.3	11	TRIM6	1.51
ILMN_1741711	NM_005128.2	21	DOPEY2	1.51
ILMN_1733875	NM_173079.1	17	RUNDC1	1.50
ILMN_1715526	NM_178566.2	9	ZDHHC21	1.50
ILMN_1721774	NM_173496.3	10	MPP7	1.50
ILMN_1678255	NM_021628.1	17	ALOXE3	1.50
ILMN_1755711	XM_938283.2		C17orf68	1.50
ILMN_1758673	NM_080546.3	9	SLC44A1	1.49
ILMN_1793040	NM_213604.1	19	ADAMTSL5	1.49
ILMN_1757019	NM_021229.2	12	NTN4	1.48
ILMN_1662306	NM_173825.3	3	RABL3	1.48
ILMN_1752159	NM_024060.2	11	AHNAK	1.48
ILMN_1791507	XM_001133074.1	17	LOC728772	1.48
ILMN_2326197	NM_201552.1	8	FGL1	1.48
ILMN_2169439	NM_002210.2	2	ITGAV	1.48
ILMN_2106449	NM_024613.2	8	PLEKHF2	1.48
ILMN_1698231	NM_015713.3	8	RRM2B	1.47
ILMN_2295747	NM_001005328.1	7	OR2A7	1.47
ILMN_1746836	NM_000952.3	1	PTAFR	1.47
ILMN_2055523	NM_018371.3	8	CSGALNACT1	1.47
ILMN_1652753	NM_025155.1	11	PAAF1	1.47
ILMN_1693717	NM_006987.2	17	RPH3AL	1.46
ILMN_2349393	NM_001012334.1	11	MDK	1.46
ILMN_1758272	NM_032578.2	10	MYPN	1.46
ILMN_2069060	NM_144770.2	21	RBM11	1.46
ILMN_1658469	NM_007233.1	7	TP53AP1	1.46
ILMN_1701052	NM_016437.1	17	TUBG2	1.45
ILMN_2358714	NM_145186.2	16	ABCC11	1.45
ILMN_2052871	NM_138341.1	12	TMEM116	1.44
ILMN_1754757	NM_002978.2	1	SCNN1D	1.44
ILMN_1761999	NM_001004303.3	1	C1orf168	1.44
ILMN_1663664	NM_018141.2	6	MRPS10	1.44
ILMN_1732176	NM_006412.3	9	AGPAT2	1.44
ILMN_1718483	NM_012067.2	1	AKR7A3	1.44
ILMN_1662359	NM_003541.2	6	HIST1H4K	1.43
ILMN_1721128	NM_006809.4	20	TOMM34	1.43
ILMN_1709032	NM_024513.1	3	FYCO1	1.43
ILMN_1666220	XR_016248.1	14	LOC254398	1.43
ILMN_1882764	XM_001131842.1		LOC730358	1.43
ILMN_1783287	NM_020672.1	1	S100A14	1.43
ILMN_1792495	NM_001620.1	11	AHNAK	1.42
ILMN_1651710	NM_138451.1	12	IQCD	1.42
ILMN_2313782	NM_178270.1	X	ATG4A	1.42
ILMN_1663037	NM_020929.1	11	LRRC4C	1.42
ILMN_1690484	NM_015314.2	7	KIAA0895	1.42
ILMN_1692517	XR_017364.1	15	LOC653381	1.42
ILMN_1665909	NM_006148.1	17	LASP1	1.42
ILMN_1716591	NM_005987.2	1	SPRR1A	1.41
ILMN_2179533	NM_007293.2	6	C4A	1.41
ILMN_2382717	NM_001030011.1	1	OPN3	1.41
ILMN_1723198	NM_004936.3	9	CDKN2B	1.41
ILMN_1768510	NM_015274.1	4	MAN2B2	1.40
ILMN_2144573	NM_004388.1	1	CTBS	1.40
ILMN_2295987	NM_017940.2	1	NBPF1	1.40
ILMN_1671263	NM_021098.2	16	CACNA1H	1.40
ILMN_1743067	NM_018260.1	19	ZNF701	1.40
ILMN_1722290	NM_024888.1	19	PRG2	1.40
ILMN_1805534	NR_003505.2	20	PPP4R1L	1.40
ILMN_2411282	NM_001004128.2	1	QSOX1	1.40
ILMN_2410924	NM_000935.2	3	PLOD2	1.39
ILMN_2308806	NM_139049.1	10	MAPK8	1.39
ILMN_1694432	NM_001312.2	14	CRIP2	1.39
ILMN_1651776	NM_013241.2	16	FHOD1	1.38
ILMN_1787308	NM_024779.3	12	PIP4K2C	1.38
ILMN_1718961	NM_004331.2	8	BNIP3L	1.38
ILMN_1783598	NM_001079670.1	13	CAB39L	1.38
ILMN_1761833	NM_014585.4	2	SLC40A1	1.38
ILMN_1740523	NM_182926.2	14	KTN1	1.38
ILMN_1747655	NM_207310.1	2	CCDC74B	1.38
ILMN_1795944	NM_001005354.2	12	PRR13	1.37
ILMN_1660629	NM_015175.1	3	NBEAL2	1.37
ILMN_2336335	NM_145021.4	10	MARCH8	1.37
ILMN_1740466	NM_017633.2	6	FAM46A	1.37
ILMN_2081070	NM_001729.1	4	BTC	1.36
ILMN_1755721	NM_018379.3	1	FAM63A	1.36
ILMN_2183692	NM_174933.2	9	PHYHD1	1.36
ILMN_1748983	NM_007008.2	2	RTN4	1.36
ILMN_1658301	NM_017708.3	19	FAM83E	1.36
ILMN_1747598	NM_021959.2	6	PPP1R11	1.36
ILMN_2084073	NM_003353.2	2	UCN	1.36
ILMN_1680579	NM_001001396.1	1	ATP2B4	1.36
ILMN_1699188	XM_931697.1	12	LOC144481	1.35
ILMN_2319424	NM_003918.2	X	GYG2	1.35
ILMN_1657316	NM_001555.2	X	IGSF1	1.35
ILMN_1893040				1.35
ILMN_1693762	NM_031294.2	17	LRRC48	1.34
ILMN_1712786	NM_015328.1	7	AHCYL2	1.34
ILMN_2082130	NM_017887.1	1	C1orf123	1.34
ILMN_1907042				1.34
ILMN_1800130	NM_018208.1	1	ETNK2	1.34
ILMN_1712389	NM_001040138.1	16	CKLF	1.33
ILMN_1700652	NM_001267.2	17	CHAD	1.33
ILMN_1717207	NM_022468.4	16	MMP25	1.32
ILMN_1687821	NM_033201.1	16	C16orf45	1.32
ILMN_1760160	NM_004603.1	7	STX1A	1.32
ILMN_1738759	NM_015937.3	20	PIGT	1.31
ILMN_2048414	NM_001076.2	4	UGT2B15	1.31
ILMN_2248970	NM_001032731.1	12	OAS2	1.31
ILMN_2143566	NM_012319.2	18	SLC39A6	1.31
ILMN_2364072	NM_001042704.1	1	CLCNKA	1.31
ILMN_2214713	NM_144645.1	4	C4orf36	1.31
ILMN_1813851	NM_005314.2	X	GRPR	1.30
ILMN_2094166	NM_016410.2	9	CHMP5	1.30
ILMN_1700888	NM_006208.1	6	ENPP1	1.30
ILMN_2317730	NM_133171.2	20	ELMO2	1.30
ILMN_1754207	NM_021796.3	X	PLAC1	1.30
ILMN_1672807	NM_007220.3	X	CA5B	1.29
ILMN_1787576	NM_004070.3	1	CLCNKA	1.29
ILMN_1914933				1.28
ILMN_1673950	NM_003943.2	4	STBD1	1.27
ILMN_1663281	NR_003578.1	19	ZNF702	1.27
ILMN_2288070	NM_001080432.1	16	FTO	1.27
ILMN_2152465	NM_005028.3	10	PIP5K2A	1.27
ILMN_1794823	NM_145297.3	19	ZNF626	1.27
ILMN_1703886	NM_006517.2	X	SLC16A2	1.26
ILMN_2301677	NM_001009813.1	19	MEIS3	1.26
ILMN_1720235	NM_152328.3	14	ADSSL1	1.26
ILMN_2414027	NM_001040139.1	16	CKLF	1.26
ILMN_1776826	XM_001127597.1		FLJ32810	1.26
ILMN_1807981	XM_001129013.1		SIGIRR	1.26
ILMN_1684653	NM_153838.3	6	GPR115	1.26
ILMN_2047599	NM_006134.5	21	TMEM50B	1.26
ILMN_1693771	NM_004318.2	8	ASPH	1.25
ILMN_1673175	NM_003701.2	13	TNFSF11	1.25
ILMN_2372199	NM_001008703.1	6	C6orf1	1.25
ILMN_2059357	NM_002260.3	12	KLRC2	1.25
ILMN_1721833	NM_016545.4	1	IER5	1.23
ILMN_1759488	NM_144728.1	1	DUSP10	1.23
ILMN_1810785	NM_014372.3	1	RNF11	1.23
ILMN_1758672	NM_031453.2	10	FAM107B	1.23
ILMN_1672034	XM_938171.2		PIM3	1.22
ILMN_2144574	NM_004388.1	1	CTBS	1.22
ILMN_1772074	NM_178837.3	19	C19orf51	1.22
ILMN_1736939	NM_003358.1	9	UGCG	1.22
ILMN_1739429	NM_147175.3	X	HS6ST2	1.22
ILMN_1756550	NM_017681.1	X	NUP62CL	1.22
ILMN_1659255	NM_006915.1	X	RP2	1.21
ILMN_1710284	NM_005524.2	3	HES1	1.21
ILMN_1699057	NM_000525.3	11	KCNJ11	1.21
ILMN_2242900	NM_003856.2	2	IL1RL1	1.21
ILMN_1714878	XM_001126385.1		BZW1	1.21
ILMN_1784985	NM_207351.3	3	PRRT3	1.21
ILMN_1806149	NM_206967.1	16	C16orf74	1.20
ILMN_1768505	NM_001560.2	X	IL13RA1	1.20
ILMN_1659215	NM_000779.3	1	CYP4B1	1.20
ILMN_1661109	NM_001030287.2	1	ATF3	1.20
ILMN_1652602	NM_173573.1	11	C11orf35	1.20
ILMN_2087941	NM_001248.1	3	ENTPD3	1.19
ILMN_1779882	NM_175873.4	5	ANKRD43	1.19
ILMN_1693620	NM_015599.1	6	PGM3	1.19
ILMN_1804445	NM_024997.2	16	ATF7IP2	1.18
ILMN_1784292	NM_020319.1	7	ANKMY2	1.18
ILMN_1695972	NM_152723.1	11	CCDC89	1.18
ILMN_1659544	NM_004177.3	11	STX3	1.18
ILMN_1653263	NM_052899.2	5	GPRIN1	1.17
ILMN_1669479	NM_177524.1	7	MEST	1.16
ILMN_1674580	NM_001017397.1	5	TRIM36	1.16
ILMN_1899431				1.16
ILMN_2353862	NM_031294.2	17	LRRC48	1.16
ILMN_2386790	NM_002261.2	12	KLRC3	1.15
ILMN_1712628	NM_016328.1	7	GTF2IRD1	1.15
ILMN_1659572	NM_000044.2	X	AR	1.15
ILMN_1711451	NM_001008539.2	8	SLC7A2	1.14
ILMN_1669404	NM_002256.3	1	KISS1	1.14
ILMN_1655521	NM_022160.1	9	DMRTA1	1.14
ILMN_2140990	NM_003656.3	3	CAMK1	1.14
ILMN_1867897				1.13
ILMN_1730223	NM_170769.1	6	RNF39	1.13
ILMN_1694535	XM_001126710.1		PDZK1	1.12
ILMN_1699243	NM_002443.2	10	MSMB	1.12
ILMN_1827037				1.11
ILMN_1670117	NM_020686.4	16	ABAT	1.11
ILMN_1811195	NM_006385.2	19	ZNF211	1.11
ILMN_1756358	NM_174899.4	2	FBXO36	1.10
ILMN_1809639	NM_178505.5	10	TMEM26	1.10
ILMN_2216838	NR_002186.1	7	DKFZp586I1420	1.10
ILMN_1666004	NM_003941.2	7	WASL	1.10
ILMN_1882519	XM_001133464.1		LOC731658	1.10
ILMN_1670158	NM_207006.1	8	FAM83A	1.09
ILMN_1797793	NM_000713.1	19	BLVRB	1.08
ILMN_1775114	NM_001248.1	3	ENTPD3	1.08
ILMN_1702821	NM_024686.4	1	TTLL7	1.08
ILMN_1854383				1.08
ILMN_1691494	NM_001097595.1		XAGE1B	1.07
ILMN_1691578	NM_138408.2	6	GTF3C6	1.06
ILMN_1664772	NM_001001396.1	1	ATP2B4	1.06
ILMN_1667114	NR_003662.1		LOC388524	1.06
ILMN_1705985	NM_020473.2	X	PIGA	1.06
ILMN_1772296	XM_938283.1		C17orf68	1.06
ILMN_1654946	NM_023926.3	19	ZSCAN18	1.06
ILMN_2136147	NM_003657.1	20	BCAS1	1.05
ILMN_1718477	NM_006953.2	22	UPK3A	1.04
ILMN_1841970				1.03
ILMN_1683854	NM_001007101.1	9	ZNF484	1.02
ILMN_1704916	NM_001011540.1	6	KU-MEL-3	1.02
ILMN_1712577	NM_198507.1	5	TMEM157	1.02
ILMN_1797293	NM_213602.1	18	SIGLEC15	1.02
ILMN_1730660	NM_194327.1	14	GALIG	1.02
ILMN_1803856	NR_002186.1	7	DKFZp586I1420	1.01
ILMN_1709728	NM_022902.2	5	SLC30A5	-1.02
ILMN_1651490	NM_000783.2	10	CYP26A1	-1.02
ILMN_1657011	XM_379668.3	9	LOC286208	-1.06
ILMN_1790008	NM_183075.2	4	CYP2U1	-1.07
ILMN_1685312	NM_021016.3	19	PSG3	-1.08
ILMN_2220283	NR_002944.2	19	HNRPA1L-2	-1.14
ILMN_1730572	NM_031372.1	4	HNRPDL	-1.14
ILMN_1709039	NM_033251.1	16	RPL13	-1.14
ILMN_1776073	NM_006430.2	2	CCT4	-1.16
ILMN_2043918	NR_002605.1	13	DLEU1	-1.16
ILMN_2319544	NM_172128.1	4	CAMK2D	-1.16
ILMN_2041046	NM_001826.1	1	CKS1B	-1.16
ILMN_2124951	NM_002139.2	X	RBMX	-1.16
ILMN_2184184	NM_000700.1	9	ANXA1	-1.17
ILMN_1671969	NM_006759.3	2	UGP2	-1.17
ILMN_1666078	NR_001434.1	6	HLA-H	-1.18
ILMN_1696521	NM_201282.1	7	EGFR	-1.18
ILMN_1901769				-1.18
ILMN_1674282	NM_006238.2	6	PPARD	-1.20
ILMN_1776552	NM_003902.3	1	FUBP1	-1.21
ILMN_1775170	NM_005952.2	16	MT1X	-1.21
ILMN_1669323	NM_138992.1	21	BACE2	-1.21
ILMN_1778360	NM_002862.3	20	PYGB	-1.21
ILMN_1677962	NM_001024218.1	14	GPHN	-1.21
ILMN_1713732	NM_005157.3	9	ABL1	-1.22
ILMN_1673509	NM_000991.3	19	RPL28	-1.22
ILMN_1783805	NM_013364.4	X	PNMA3	-1.22
ILMN_1662417	NM_133259.2	2	LRPPRC	-1.24
ILMN_1697268	NM_032048.2	18	EMILIN2	-1.24
ILMN_1659800	NM_022893.3	2	BCL11A	-1.25
ILMN_1730491	NM_052905.3	2	FMNL2	-1.25
ILMN_2350970	NM_014011.4	2	SOCS5	-1.26
ILMN_1727184	NM_139281.2	5	WDR36	-1.27
ILMN_2102580	NM_014503.2	12	UTP20	-1.27
ILMN_1672504	NM_003681.4	21	PDXK	-1.27
ILMN_1809417	NM_024036.3	11	LRFN4	-1.28
ILMN_1687335	NM_001456.2	X	FLNA	-1.31
ILMN_1888609				-1.31
ILMN_2406586	NM_001080522.1	4	CC2D2A	-1.31
ILMN_2375002	NM_145687.2	2	MAP4K4	-1.31
ILMN_1667374	NM_144581.1	14	C14orf149	-1.33
ILMN_1751572	NM_005077.3	9	TLE1	-1.35
ILMN_1711490	NM_015071.3	5	ARHGAP26	-1.36
ILMN_1757552	NM_012232.3	17	PTRF	-1.36
ILMN_1759250	NM_018833.2	6	TAP2	-1.37
ILMN_1768391	NM_005737.3	2	ARL4C	-1.37
ILMN_1651237	NM_030928.2	16	CDT1	-1.38
ILMN_2106902	NM_005197.2	14	CHES1	-1.38
ILMN_1664602	NR_002197.1	11	LOC143543	-1.39
ILMN_2411745	NM_004434.2	14	EML1	-1.39
ILMN_1787648	XM_944791.1		GPR125	-1.39
ILMN_2059535	NM_014634.2	22	PPM1F	-1.40
ILMN_1699208	NM_139207.1	12	NAP1L1	-1.40
ILMN_1861270				-1.40
ILMN_1815882	NM_031157.2	12	HNRNPA1	-1.40
ILMN_2342271	NM_138553.1	2	BCL11A	-1.41
ILMN_1728011	NM_020742.2	X	NLGN4X	-1.42
ILMN_1761812	NM_004019.1	X	DMD	-1.42
ILMN_2242937	NM_000046.2	5	ARSB	-1.43
ILMN_1680624	NM_003851.2	1	CREG1	-1.43
ILMN_2085862	NM_016582.1	11	SLC15A3	-1.43
ILMN_1703487	NM_006769.2	1	LMO4	-1.43
ILMN_1772521	NM_015440.3	6	MTHFD1L	-1.45
ILMN_2203891	NM_005904.2	18	SMAD7	-1.45
ILMN_1740512	XM_936687.1		MGC39900	-1.45
ILMN_1764729	NM_002226.3	14	JAG2	-1.46
ILMN_1752269	NM_032501.2	20	ACSS1	-1.46
ILMN_1702738	NM_177417.1	19	KLC3	-1.46
ILMN_1787345	NM_016594.1	12	FKBP11	-1.47
ILMN_2315208	NM_172078.1	7	CAMK2B	-1.47
ILMN_2284941	NM_005692.3	7	ABCF2	-1.48
ILMN_2384241	NM_001024847.1	3	TGFBR2	-1.48
ILMN_1668247	NM_145867.1	5	LTC4S	-1.50
ILMN_2392274	NM_001024844.1	11	CD82	-1.50
ILMN_1791847	NM_014326.3	15	DAPK2	-1.50
ILMN_1818617				-1.52
ILMN_1735038	NM_178450.2	5	MARCH3	-1.52
ILMN_2163873	NM_032532.1	6	FNDC1	-1.53
ILMN_1853167				-1.54
ILMN_1715068	NM_020980.2	15	AQP9	-1.55
ILMN_1726245	NM_001024847.2	3	TGFBR2	-1.55
ILMN_1749868	NM_001010924.1	10	C10orf38	-1.55
ILMN_1724480	NM_004655.2	17	AXIN2	-1.56
ILMN_1688098	NM_014832.2	13	TBC1D4	-1.56
ILMN_2262444	NM_002604.1	8	PDE7A	-1.56
ILMN_1729455	NM_004434.2	14	EML1	-1.57
ILMN_1744046	NM_006729.3	X	DIAPH2	-1.58
ILMN_1792748	NM_001875.2	2	CPS1	-1.58
ILMN_1708098	NM_153713.1	1	LIX1L	-1.59
ILMN_2110167	NM_022490.1	9	POLR1E	-1.60
ILMN_1704294	NM_001793.3	16	CDH3	-1.61
ILMN_1887357				-1.61
ILMN_1782538	NM_003380.2	10	VIM	-1.61
ILMN_1755974	NM_005165.2	17	ALDOC	-1.63
ILMN_1789007	NM_001645.3	19	APOC1	-1.63
ILMN_1702822	NM_006180.3	9	NTRK2	-1.63
ILMN_1770725	NM_031426.2	9	C9orf58	-1.63
ILMN_1655645	NM_013411.3	1	AK2	-1.64
ILMN_2373106	NM_004019.1	X	DMD	-1.65
ILMN_1684158	NM_133443.1	16	GPT2	-1.65
ILMN_1799106	NM_022746.2	1	MOSC1	-1.65
ILMN_2053281	NM_144581.1	14	C14orf149	-1.65
ILMN_2371433	NM_000381.1	X	MID1	-1.65
ILMN_2058251	NM_003380.2	10	VIM	-1.66
ILMN_1677018	NM_002141.4	7	HOXA4	-1.66
ILMN_1678934	NM_022490.1	9	POLR1E	-1.67
ILMN_1785732	NM_007115.2	2	TNFAIP6	-1.67
ILMN_1815719	NM_002661.2	16	PLCG2	-1.67
ILMN_1803348	NM_015252.2	2	EHBP1	-1.68
ILMN_1652280	NM_058229.2	8	FBXO32	-1.69
ILMN_1758128	NM_134268.3	17	CYGB	-1.69
ILMN_1723481	NM_004273.2	10	CHST3	-1.69
ILMN_1683415	NM_001221.2	4	CAMK2D	-1.70
ILMN_1864959				-1.71
ILMN_1814296	NM_017662.3	9	TRPM6	-1.72
ILMN_1784294	NM_016352.2	7	CPA4	-1.73
ILMN_1658384	NM_018058.4	10	CRTAC1	-1.73
ILMN_1771800	NM_002737.2	17	PRKCA	-1.74
ILMN_1798975	NM_005228.3	7	EGFR	-1.75
ILMN_1786628	XM_001128059.1	9	LOC653355	-1.76
ILMN_1658989	NM_032246.3	15	MEX3B	-1.77
ILMN_1756071	NM_005928.1	15	MFGE8	-1.77
ILMN_1740487	NM_138410.2	3	CMTM7	-1.78
ILMN_2075757	NM_153377.3	12	LRIG3	-1.78
ILMN_1668312	NM_001001290.1	4	SLC2A9	-1.81
ILMN_1797372	NM_173552.2	3	C3orf58	-1.82
ILMN_1663446	NM_001034954.1	10	SORBS1	-1.82
ILMN_2179717	NM_004816.2	9	C9orf61	-1.83
ILMN_1772964	NM_005623.2	17	CCL8	-1.84
ILMN_1723969	NM_015192.2	20	PLCB1	-1.85
ILMN_1700248	NM_198285.1	7	WDR86	-1.85
ILMN_1751028	NM_001235.2	11	SERPINH1	-1.85
ILMN_1735353	NM_024337.3	5	IRX1	-1.86
ILMN_2323508	NM_001002260.1	9	C9orf58	-1.86
ILMN_1804737	NM_018211.2	1	RAVER2	-1.86
ILMN_1764629	NM_015359.2	8	SLC39A14	-1.86
ILMN_1678961	NM_018027.3	10	FRMD4A	-1.86
ILMN_2255133	NM_022893.2	2	BCL11A	-1.86
ILMN_1808132	NM_152872.1	10	FAS	-1.88
ILMN_1697363	NM_001039140.1	20	C20orf27	-1.89
ILMN_2376194	NM_172080.1	7	CAMK2B	-1.89
ILMN_1853876				-1.89
ILMN_1678928	NM_013272.2	15	SLCO3A1	-1.90
ILMN_2401258	NM_014883.2	4	FAM13A1	-1.91
ILMN_1775345	NM_080743.4	6	SRrp35	-1.92
ILMN_1698934	NM_181472.1	3	CMTM7	-1.93
ILMN_1667966	NM_052966.1	1	C1orf24	-1.93
ILMN_1655595	NM_006216.2	2	SERPINE2	-1.93
ILMN_2194009	NM_005845.2	13	ABCC4	-1.93
ILMN_1700024	NM_005715.1	6	UST	-1.93
ILMN_1695959	NM_058187.3	21	C21orf63	-1.94
ILMN_1761858	NM_033290.2	X	MID1	-1.94
ILMN_1704537	NM_006623.2	1	PHGDH	-1.95
ILMN_2151114	NM_003385.4	2	VSNL1	-1.95
ILMN_1769704	XR_015133.1	14	FLJ39632	-1.98
ILMN_1811330	NM_001034850.1	5	FAM134B	-1.98
ILMN_1743034	NM_183416.2	1	KIF1B	-1.98
ILMN_1752510	NM_001015045.1	4	FAM13A1	-1.98
ILMN_2136089	NM_175621.2		MTE	-1.98
ILMN_2129234	NM_031442.2	X	TMEM47	-1.99
ILMN_1873624				-1.99
ILMN_2403247	NM_181472.1	3	CMTM7	-2.00
ILMN_1810725	NM_052966.2	1	FAM129A	-2.00
ILMN_2319077	NM_152877.1	10	FAS	-2.00
ILMN_1680738	NM_004772.1	5	C5orf13	-2.02
ILMN_1748591	NM_002539.1	2	ODC1	-2.02
ILMN_1654735	NM_013272.2	15	SLCO3A1	-2.02
ILMN_1661443	NM_001012642.1	15	GRAMD2	-2.03
ILMN_1676247	NM_175913.3	20	JPH2	-2.03
ILMN_2134974	NM_022337.1	11	RAB38	-2.04
ILMN_1729314	NM_002728.4	11	PRG2	-2.04
ILMN_1807969	NM_005460.2	5	SNCAIP	-2.04
ILMN_1708059	NM_003940.1	3	USP13	-2.05
ILMN_1740555	NM_130811.1	20	SNAP25	-2.05
ILMN_2341067	NM_020742.2	X	NLGN4X	-2.06
ILMN_1777565	NM_000544.3	6	TAP2	-2.08
ILMN_2387952	NM_001034850.1	5	FAM134B	-2.08
ILMN_1738401	NM_001453.1	6	FOXC1	-2.11
ILMN_1742044	NM_002069.4	7	GNAI1	-2.11
ILMN_1733841	NM_031283.1	2	TCF7L1	-2.12
ILMN_1769245	NM_006851.2	12	GLIPR1	-2.12
ILMN_1651950	NM_003596.2	7	TPST1	-2.12
ILMN_1677946	XM_929539.1	3	LOC653764	-2.12
ILMN_1667225	NM_005020.1	7	PDE1C	-2.14
ILMN_2358560	NM_001010927.2	6	TIAM2	-2.15
ILMN_1725387	NM_052913.2	6	TMEM200A	-2.16
ILMN_1738854	NM_020925.2	1	CACHD1	-2.17
ILMN_1696704	NM_007005.3	9	TLE4	-2.18
ILMN_2180371	NM_013300.1	12	C12orf24	-2.18
ILMN_1779800	NM_018650.3	1	MARK1	-2.19
ILMN_1890773				-2.20
ILMN_2138589	NM_006343.2	2	MERTK	-2.21
ILMN_1658835	NM_001233.3	7	CAV2	-2.21
ILMN_1687501	NM_015529.2	6	MOXD1	-2.21
ILMN_1803559	XR_015133.1	14	FLJ39632	-2.22
ILMN_2052891	NM_000297.2	4	PKD2	-2.22
ILMN_2326262	NM_015385.2	10	SORBS1	-2.22
ILMN_1773389	NM_182676.1	20	PLTP	-2.22
ILMN_1699644	XM_001127871.1		MARCH3	-2.23
ILMN_1799725	NM_004946.1	5	DOCK2	-2.24
ILMN_2380801	NM_153048.1	6	FYN	-2.25
ILMN_1710268	NM_024697.1	3	ZNF385D	-2.25
ILMN_1717046	NM_024761.3	9	MOBKL2B	-2.26
ILMN_1778991	NM_005596.2	9	NFIB	-2.28
ILMN_2410523	NM_006182.2	1	DDR2	-2.28
ILMN_1658407	NM_014096.2	11	SLC43A3	-2.29
ILMN_2122103	NM_005238.2	11	ETS1	-2.30
ILMN_1767446	NM_020724.1	4	RNF150	-2.31
ILMN_1674620	NM_001099400.1	7	SGCE	-2.31
ILMN_1748881	NM_012219.3	3	MRAS	-2.32
ILMN_1654398	NM_015149.3	1	RGL1	-2.33
ILMN_1655796	XM_001127871.1		MARCH3	-2.34
ILMN_1758816	NM_003360.2	4	UGT8	-2.34
ILMN_1848552				-2.35
ILMN_1735700	NM_007196.2	19	KLK8	-2.35
ILMN_1713686	NM_152456.1	16	C16orf77	-2.37
ILMN_1830462	NM_022166.3	16	XYLT1	-2.38
ILMN_2185845	NM_032430.1	19	BRSK1	-2.38
ILMN_1673769	NM_002237.3	20	KCNG1	-2.38
ILMN_1741356	NM_153026.1	12	PRICKLE1	-2.39
ILMN_1737184	NM_031942.4	2	CDCA7	-2.39
ILMN_1808732	NM_000331.3	11	SAA1	-2.40
ILMN_1710937	NM_005531.1	1	IFI16	-2.42
ILMN_1674629	NM_032823.3	9	C9orf3	-2.42
ILMN_1686555	NM_153047.1	6	FYN	-2.42
ILMN_1812552	NM_018367.4	11	PHCA	-2.42
ILMN_1704398	NM_003508.2	7	FZD9	-2.43
ILMN_2357855	NM_001018065.1	9	NTRK2	-2.43
ILMN_1764109	NM_001733.4	12	C1R	-2.43
ILMN_1783909	NM_001849.3	21	COL6A2	-2.45
ILMN_1726030	NM_015696.3	1	GPX7	-2.48
ILMN_1812902	NM_052954.2	21	CYYR1	-2.48
ILMN_1674050	NM_005202.1	1	COL8A2	-2.48
ILMN_1802615	NM_001259.5	7	CDK6	-2.49
ILMN_2330307	NM_017611.2	11	SLC43A3	-2.49
ILMN_1652512	NM_015500.1	21	C2CD2	-2.51
ILMN_1917341				-2.54
ILMN_1706261	XM_941061.1		SLCO3A1	-2.54
ILMN_1781626	NM_001734.2	12	C1S	-2.55
ILMN_1809928	NM_001849.3	21	COL6A2	-2.55
ILMN_1714067	NM_001007097.1	9	NTRK2	-2.55
ILMN_1697548	NM_012302.2	1	LPHN2	-2.58
ILMN_2082585	NM_003068.3	8	SNAI2	-2.58
ILMN_1815032	NM_031439.2	8	SOX7	-2.61
ILMN_1702487	NM_005627.2	6	SGK	-2.63
ILMN_2103761	NM_007005.3	9	TLE4	-2.63
ILMN_1732151	NM_001848.2	21	COL6A1	-2.64
ILMN_1728734	NM_002781.2	19	PSG5	-2.65
ILMN_1752899	NM_022893.2	2	BCL11A	-2.65
ILMN_2185984	NM_015278.3	6	SASH1	-2.68
ILMN_1704665	NM_001001995.1	X	GPM6B	-2.70
ILMN_1775814	NM_000163.2	5	GHR	-2.71
ILMN_1692938	NM_021154.3	9	PSAT1	-2.72
ILMN_2146761	NM_001444.1	8	FABP5	-2.75
ILMN_1712673	NM_015278.3	6	SASH1	-2.76
ILMN_1738552	NM_004172.3	5	SLC1A3	-2.76
ILMN_1764228	NM_001343.2	5	DAB2	-2.77
ILMN_1801205	NM_001005340.1	7	GPNMB	-2.80
ILMN_1714523	NM_138737.1	X	HEPH	-2.83
ILMN_2196550	NM_025113.1	13	C13orf18	-2.83
ILMN_1788457	NM_005845.2	13	ABCC4	-2.85
ILMN_1706015	NM_153690.4	3	FAM43A	-2.86
ILMN_1804351	NM_003507.1	2	FZD7	-2.87
ILMN_1729216	NM_001885.1	11	CRYAB	-2.87
ILMN_1773388	NM_025113.1	13	C13orf18	-2.88
ILMN_1655611	NM_173485.4	20	TSHZ2	-2.89
ILMN_1753312	NM_032812.7	10	PLXDC2	-2.89
ILMN_2128428	NM_001343.1	5	DAB2	-2.90
ILMN_1787461	NM_004350.2	1	RUNX3	-2.91
ILMN_1753613	NM_019102.2	7	HOXA5	-2.91
